Unnamed: 0,Text Blocks,Timestamp,Category,Company,Stock,sentiment
2191,"Friends of time, in the past 2017, from NIO's first domestic debut at the Shanghai Auto Show to the roll-off of Xiaopeng Motors Geek 1.0 to the debut of WM Motor's EX5 mass-produced car at the end of the year, this year, I witnessed with my own eyes The impact of nearly 10 outstanding new forces in the automotive industry has been reviewed. Entering 2018, I hope you will continue to stay true to your original intentions and work hard to move forward. New forces make cars: Since Tesla entered China in 2014, as the Ministry of Industry and Information Technology released electric vehicle production qualifications to private capital, China has launched a new car movement with great momentum. Up to now, China’s new car companies have exceeded 60 . In the past three years, rookies in car manufacturing have emerged one after another, and those who have entered the game can hardly be simply divided into Internet people and independent entrepreneurs of traditional car companies. There are those who make electric vehicles because of the production of batteries, and those who enter because of the production of surveillance cameras. Those who lost Vanke and switched to new energy, such as Baoneng, are also there. Cross-border companies abound. There is also no shortage of conscientious and sneaky low-key craftsmen, but no matter what their original intentions are, the final market is like a battlefield, and the product speaks",2018-01-01,sales_marketing,Nio,NIO,0.1191370223978919
2192,"On January 8, 2018, Space-time Electric's ""Blue Avenue"" project officially settled in Jinniu District, Chengdu. The ""Blue Avenue"" project is mainly to provide battery replacement services for pure electric vehicles that are very similar to the energy supplementation method of fuel vehicles. In the electric vehicle industry, at present, BAIC New Energy, NIO, Lifan and other car companies are all carrying out battery replacement services for electric vehicles.​",2018-01-13,technical_innovation,Nio,NIO,0.0490395021645021
2193,"NIO CFO: JAC NIO ES8, the sales target for 2018 is 20,000-30,000 units, and the first batch of 10,000 vehicles has been sold.",2018-01-16,sales_marketing,Nio,NIO,0.25
2194,"few days ago, the Austrian ""Standard"" published an article saying that at the end of 2017, NIO Automobile Company released the ES8 electric car in Beijing, which will be mass-produced in 2018, indicating that China is becoming a big electric car country. NIO Automobile Company was established in Shanghai in 2014. Investors include 55 large international investment companies such as Tencent. A large number of foreign experts and industry elites have been brought into the company. At present, there are more than 4,000 employees in more than 40 countries, including Munich, Germany. More than 130 people. It is reported that NIO electric vehicles have received more than 10,000 orders, and the price of new cars is expected to be 440,000 yuan, which will be reduced to 375,000 yuan after receiving subsidies for new energy vehicles.",2018-01-24,technical_innovation,Nio,NIO,0.1603705118411
2195,"Last year, JAC made headlines several times with its ""JAC Volkswagen"" and ""JAC NIO""",2018-02-07,sales_marketing,Nio,NIO,0.0
2196,"2018 TTA Influence Annual Innovation Award: Li Bin, Founder and Chairman of NIO: I hope that we can explore some new paths for future changes in the automotive industry in terms of user experience, smart cars, autonomous driving, and energy services.",2018-02-25,public_relations,Nio,NIO,0.1876623376623376
2197,It is rumored that NIO has hired 8 investment banks to prepare for the listing in the United States within this year,2018-05-08,stock,Nio,NIO,0.0
2198,"Whether it is the established Tesla, BYD, or the new NIO, the preservation rate has become a problem facing all electric vehicle manufacturers. If this is not addressed, it will remain difficult for electric vehicles to fully integrate into the automotive market.",2018-05-17,competition,Nio,NIO,-0.1818181818181818
2199,"With the promotion of cooperation between JAC, NIO and Volkswagen, JAC's brand, management, and quality should develop in a better direction in 2018. For JAC, 2018 may become a crucial year for changing the entire enterprise.",2018-05-26,sales_marketing,Nio,NIO,0.1666666666666666
2200,"According to the latest report on the online auto market, NIO’s target valuation (in 2021 after three years) is US$36 billion; in terms of car sales and revenue, NIO expects to sell around 30,000 vehicles in 2018 and reach 45 in 2021. By 2021, the revenue and net profit targets of each business are 154.3 billion yuan and 16.1 billion yuan respectively.",2018-09-01,stock,Nio,NIO,0.1666666666666666
