Unnamed: 0,Text Blocks,Timestamp,Category,Company
2330,"January 3, 2018: Is it many years, or even 30 years, before Tesla self-driving cars are safer than human drivers?",2018-01-03,public_relations,Tesla
2331,"To borrow a sentence from Tesla CEO Elon Musk: Either die peacefully, or live splendidly.",2018-01-04,public_relations,Tesla
2332,"In the 2018 Hurun Global Rich List, Tesla CEO Musk ranks first in the auto industry, with a wealth of 150 billion yuan, ranking 40th in the overall list",2018-01-09,public_relations,Tesla
2333,"According to ""Fortune"" magazine, Professor Melosh of Purdue University said that although the extreme environment of space will kill most bacteria, it does not rule out that some bacteria can survive. The Tesla sports car is approaching Mars. If there is a problem with the operation of this car and it hits Mars, and if there are living things on Mars, then the bacteria carried by Tesla may pose a threat to these living things.",2018-01-14,technical_innovation,Tesla
2334,"The new BYD Tang is coming! It is reported that the new car will be equipped with fuel and plug-in hybrid power systems, and will be unveiled at the Beijing Auto Show in April 2018. The interior will be equipped with a 90-degree rotating large screen, which has a sense of technology comparable to Tesla! (",2018-01-16,competition,Tesla
2335,"2018 hits hard, 340,000 SUVs challenge Tesla, is it really powerful or crazy?",2018-01-30,competition,Tesla
2336,"Australian residents install a 5-kilowatt photovoltaic system (A$5,500, with a lifespan of 20 years), plus a Tesla battery pack (priced at A$11,075 in 2018), and the annual cost of this system is significantly lower than the grid electricity price​",2018-02-02,cost,Tesla
2337,The annals of human exploration of the universe will write the red Tesla in 2018,2018-02-06,public_relations,Tesla
2338,Elon Musk has sent his Tesla up into the sky to find the Martians. But Huang Xinyao said that we cannot explore the inner universe of others.,2018-02-09,public_relations,Tesla
2339,"Volkswagen's latest ID Vizzion concept car: cruising range beats Tesla's Model 3 long-range battery's 310 miles, up to 413 miles",2018-02-21,competition,Tesla
2340,Are Tesla's days over? There are so many electric cars to be unveiled at this year's Geneva Motor Show,2018-02-25,competition,Tesla
2341,"Tesla recently stated in the SEC filing: ""On March 7, 2018, Eric Brandis left Tesla for personal reasons. Tesla thanks Eric for his contributions to the company. According to public information, Brandis joined Tesla in 2016 as the company's chief accountant. When Brandeis took office, Tesla was trying to acquire SolarCity, a photovoltaic power generation company, for $2.6 billion.",2018-03-07,public_relations,Tesla
2342,"Excerpted from ""Chinese and Foreign Management"" on March 6, 2018 A red Tesla sports car has landed on Mars. On February 7, Musk disclosed on social media that he had engraved six characters on the space sports car: ""Made by Human Earth"".",2018-03-21,public_relations,Tesla
2343,"""Who told you to send Tesla into space?"" Musk was angered by experts!",2018-03-22,public_relations,Tesla
