Unnamed: 0,Text Blocks,Timestamp,Category,Company,Stock,sentiment
2028,The world premiere of the new Hyundai Yuena design sketch,2019-01-24,product,hyundai,HYMTF,0.1363636363636363
2029,"Li Guoxin, the owner of Reading who reported to the secretary of the county party committee, once commented on the domestic new energy vehicle market, ""The big players are either cheating the country's money or taking capital money."" Money."" As one of the examples of not short of money, in the 2017 China Guardian Spring Auction Night: ""Grand View - Chinese Painting and Calligraphy Treasures Night Modern Modern"", Boss Li directly asked for a price of 100 million yuan, and the starting price of paintings was 72 million yuan. ""Huangshan"" Expand the full text c",2019-04-20,cost,hyundai,HYMTF,0.1351239669421487
2030,"According to the above insurance data, Kia sold 94,345 vehicles in China for the whole year, a year-on-year decrease of 40.48%. New Energy VehiclesNew Energy Vehicles#帮我选车#In fact, not only Kia, but almost all traditional fuel vehicle companies such as Volkswagen, Honda, Toyota, etc. have seen their sales plummet. Where did their share go? Without him, it was snatched away by new energy car companies. Is fuel car companies belatedly aware? Nor is it. One is that they are too big to fall off. Expand the full text c",2019-05-29,sales_marketing,hyundai,HYMTF,0.104040404040404
2031,"Kia Motors' labor and management sponsors about 500 million won for the children of families who were victims of traffic accidents, including scholarships and school uniform purchases. From 2012 to the present, Kia Motors has sponsored approximately 3.5 billion won, and by 2021, it is expected to sponsor a total of 5 billion won.",2019-10-31,public_relations,hyundai,HYMTF,-0.125
2032,"Hyundai Kia Motors has been at the forefront of the research and development of future mobile travel methods: in 2003, it established the in-vehicle information system ""Mozen""; in 2009, it provided mobile phone-based vehicle remote control services; from 2013 to 2017, it prepared for the transformation to the Internet of Vehicles; In 2018, cloud-based car networking services will be expanded; from 2021 to 2024, intelligent voice assistants will provide smarter services; from 2025 to 2030, autonomous driving will bring a new passenger experience.",2019-11-03,sales_marketing,hyundai,HYMTF,0.2472727272727272
2033,It is planning a big push into the Indian market and will launch a compact SUV based on the SP concept in the second half of 2019. The Kia SP Concept made its debut at the Auto Expo 2018 in the Greater Noida area.,2019-11-30,sales_marketing,hyundai,HYMTF,0.0833333333333333
2034,"Kia Motors is reportedly planning a big push into the Indian market. Kia Motors is developing an electric car specially made for the Indian market, and important information such as the cruising range preferred by Indian customers has been forwarded to Kia's Korean headquarters. If all goes according to plan, it will be Kia's first electric car developed exclusively for India and is expected to hit the market as early as 2021.",2019-11-30,sales_marketing,hyundai,HYMTF,0.1383928571428571
2035,"Kia Motors recently announced that it has completed construction of a factory invested in Andhra Pradesh in southeastern India. Covers an area of ​​about 2.2 million square meters. It will be officially put into production in the second half of 2019. The annual production capacity is 300,000 vehicles. It plans to produce compact cars and SUVs, which are popular in India. Kia Motors aims to be among the top five car sales in India by 2021.",2019-12-08,sales_marketing,hyundai,HYMTF,0.1866666666666666
2036,"At present, consumers have more and more mobile travel and leisure methods, and it is difficult to meet the increasingly diverse travel needs with the car alone. Based on this, Hyundai Kia Motors launched a vehicle built-in Electric scooters are also being considered as an option for users to be equipped with new models that will be launched around 2021 to meet the current changing mobility needs",2019-12-27,product,hyundai,HYMTF,0.106060606060606
2037,"Recently, Hyundai Kia Motors has launched a built-in electric scooter, which may be equipped on new models launched around 2021. It is a good idea to solve the ""last mile"" of users, but isn't it always driven directly to the destination in China?​",2019-12-29,product,hyundai,HYMTF,0.1872727272727272
2038,"As more and more car companies launch electrification strategies, new electric vehicles have also begun to emerge in an endless stream. A few days ago, Kia Motors is preparing to build a pure electric model, which is expected to be launched in 2021.",2020-01-07,product,hyundai,HYMTF,0.1322356215213357
2039,"[New car Kia's new electric vehicle platform will be launched in 2021] By 2025, Kia Motors will release 11 electric models. Kia currently has electric models such as Soul EV and Niro EV, all of which are based on the old electric vehicle platform. According to foreign media information, the Imagine model to be mass-produced is based on Kia's independent electric vehicle platform and will not be shared with Hyundai.",2020-01-16,product,hyundai,HYMTF,0.0353896103896103
2040,"A few days ago, Kia Motors is preparing to build a pure electric model, which is expected to be launched in 2021. This is also an important part of Kia Motors' global strategy ""S Plan"". According to the content of the strategy, Kia Motors will release 11 electric models by 2025",2020-01-22,sales_marketing,hyundai,HYMTF,0.0628571428571428
2041,"Foreign media reported that Kia Motors will debut its newly designed Logo before the end of this year, and the new Logo is likely to be the first to be carried on plug-in hybrid models and pure electric models. The pure electric vehicle that Kia will release next is the mass-produced version of the Imagine concept car. The logo on the concept car is similar to the new logo, which is more modern and avant-garde. The car is positioned to surpass the existing e-Niro and Seltos EV pure electric vehicles, and is expected to be launched in 2021.",2020-01-22,product,hyundai,HYMTF,0.1269248608534322
2042,"Kia Motors announced a ""S plan"" to the outside world. It is expected to produce 11 pure electric vehicles in 2025. More details have not yet been disclosed. A pure electric model, the latter will be the first to be available in the US market",2020-03-17,product,hyundai,HYMTF,0.1848214285714285
2043,Kia also revealed that future new cars will be based on a new electric vehicle platform.,2020-03-17,product,hyundai,HYMTF,0.0909090909090909
2044,"Kia Motors confirmed that it will launch the mass-produced version of the SUV concept car Imagine in the second half of 2021, internally code-named ""CV"". Technology for brand collaborations.",2020-03-31,product,hyundai,HYMTF,0.0583333333333333
2045,"Recently, a Kia Motors future new car planning table was obtained from relevant channels. The new Jiahua will be launched in July 2021, and a new pure electric model will be launched in 2022; A generation of Lions running. In addition, Kia will officially release a new brand identity in April next year, and then start applying it to specific models in the first half of 2021.",2020-04-16,sales_marketing,hyundai,HYMTF,0.103589466089466
2046,"A few days ago, Kia Motors released the official image of the new Sorento plug-in hybrid model, which will enter the European market in early 2021. Like the fuel version, the car also provides 5-seater and 7-seater layouts. For battery life, the car is equipped with a battery pack with a capacity of 13.8kWh, but the official has not yet announced its pure electric mileage.",2020-05-15,sales_marketing,hyundai,HYMTF,0.0501298701298701
2047,"Recently, foreign media reported that LG Chem will supply batteries worth trillions of won to Hyundai-Kia Motors Group. Hyundai Kia has selected LG Chem as the second battery supplier for its EV-specific platform, E-GMP, which will start mass production in 2021. This is the second battery order announced by Hyundai Kia. There had been speculation that Samsung SDI would supply batteries for Hyundai.​",2020-06-27,sales_marketing,hyundai,HYMTF,0.04375
2048,"[May be launched in 2021. Kia plans to launch a micro electric car] Kia Motors plans to launch a micro electric car, which is economical and practical in order to meet the needs of short-distance transportation in the city.",2020-09-07,product,hyundai,HYMTF,0.3
2049,"In Autotrader's selection, Hyundai KONA (Chinese name Angxinuo) won the title of ""Top Ten Cars Preferred by Fresh Graduates in 2020"" for its stylish appearance, excellent performance and class-leading safety configuration. At the same time, Kia Seltos 2021 This model also won the title for its exquisite shape, rich configuration, and excellent performance.",2020-09-14,product,hyundai,HYMTF,0.4674999999999999
2050,"According to foreign media reports, on September 16, Kia Motors stated at a press conference that it will launch a new pure electric vehicle in 2021. Part of the 7 pure electric vehicle program. Kia said that the electric car will be built on the Electric Global Modular Platform (E-GMP), and the new car will have a first-class interior space.",2020-09-27,product,hyundai,HYMTF,0.0960497835497835
2051,"According to foreign media reports, Hyundai Kia Motor Group is recalling more than 180,000 vehicles in the United States because of a defect in the vehicle's anti-lock braking system (ABS), which may cause electric vehicles to short-circuit and cause fires.",2020-10-22,product,hyundai,HYMTF,0.1875
2052,Kia Motors officially stated that Kia Motors' first 800V ultra-high voltage charging system has officially rolled off the assembly line,2020-10-29,product,hyundai,HYMTF,0.25
2053,"Kia's new plug-in hybrid Sorento official image announced, it is expected to be introduced into China in the future",2020-10-30,sales_marketing,hyundai,HYMTF,0.0121212121212121
2054,"[New news about the introduction of the new Kia Jiahua will be imported first and then domestically produced] Recently, it was learned that the new Kia Jiahua will realize localized production in China in the future.",2020-10-30,sales_marketing,hyundai,HYMTF,0.1098484848484848
2055,"Kia Motors had already introduced the new logo with the concept ""Imagine by KIA"" at the Geneva Motor Show last March. A cursive-like font was applied to the vehicle to replace the existing oval emblem.",2020-11-21,product,hyundai,HYMTF,0.0681818181818181
2056,"On October 12, Hyundai Kia Motors and Baidu signed a memorandum of understanding, the two parties will carry out all-round research and development of intelligent vehicle technology. In this collaboration, Hyundai Kia and Baidu Apollo will develop and upgrade their self-developed global standard in-vehicle infotainment platform system. Years to achieve promotion and application.​",2020-11-22,sales_marketing,hyundai,HYMTF,0.2666666666666666
2057," In the first 11 months of this year, the annual overseas sales of new energy vehicles under Hyundai Kia Motors reached 30.6266.​​",2020-12-04,sales_marketing,hyundai,HYMTF,0.1931818181818181
2058,"DWG official announcement: cooperation with Kia Motors, the team will be renamed DWG KIA",2020-12-04,sales_marketing,hyundai,HYMTF,0.0
2059,"According to the poll of pure electric car owners, Volkswagen ID.3 has 100% owner satisfaction, followed by Tesla Model 3 and Kia e-Niro, both with 96% satisfaction",2020-12-10,user_experience,hyundai,HYMTF,0.2142857142857142
2060,Hyundai to buy Boston Dynamics for $921 million,2020-12-10,competition,hyundai,HYMTF,0.0
2061,"Korean media reported that Hyundai Motor Group and Apple plan to sign a cooperation agreement on electrified autonomous vehicles in March this year, producing 100,000 vehicles at the proposed factory in 2024, with an annual capacity of 400,000 vehicles. A test version of the Apple Car will be launched in 2022. Battery development could take place at a Hyundai or Kia plant in the U.S.",2021-01-20,sales_marketing,hyundai,HYMTF,0.4
2062,"The Kia EV6 First Edition model will be officially delivered in early 2022. The new car will be sold in a limited number of 1,500 units. The starting price in the UK is 40,895 pounds, or about 369,700 yuan. In addition to the regular color combination, there is also a special urban yellow exterior color + dark green seats",2021-06-21,cost,hyundai,HYMTF,0.038370720188902
2063,"Overseas media have learned that the latest renderings of Kia's new Niro have been exposed. The new car has a novel exterior design with sharp edges and corners. Hybrid, plug-in hybrid and pure electric powertrains will be offered and are expected to debut in 2022.",2021-06-22,product,hyundai,HYMTF,0.1270021645021645
