Unnamed: 0,Text Blocks,Timestamp,Category,Company
3051," Although Volvo Cars' independent brand Polestar is still in its infancy, it has a huge plan for the future. It is learned that Polestar 1, a hybrid high-performance coupe based on the Volvo S90, has been confirmed to be launched next year. Now, the company's second car has also surfaced, called the Polestar 2, which is expected to cost around 40,000 euros.",2018-02-13,product,volvo
3052,"Volvo Polestar challenges performance sports car! How about 600 horsepower + 1000 Nm? --- Polestar 1, the first performance car after Polestar's independent brand, is eye-catching. Polestar 1 is equipped with a plug-in hybrid system based on Volvo T8 system upgrade, and both rear wheels are equipped with electric motors.",2018-02-18,technical_innovation,volvo
3053,"A late touch of blue, but also a swan song - Volvo V60 Polestar",2018-02-22,user_experiecne,volvo
3054,"According to foreign media reports, Volvo's independent high-performance electric car brand Polestar (Polestar) recently said that the company is considering whether to increase production of its first market model Polestar 1. The Polestar 1 coupe is matched with a plug-in hybrid system with an output of up to 600 horsepower and a range of up to 93 miles in pure electric mode. The price is between US$160,000-185,000.",2018-03-18,technical_innovation,volvo
3055," Polestar 1 is a plug-in hybrid, and the subsequent product lineup is pure electric; Polestar 2 will directly compete with Tesla Model 3, starting at 40,000 euros; Polestar 3 is a ""low aerodynamic"" SUV . The beginning of 2019 at the Chengdu factory will be very exciting.",2018-04-14,technical_innovation,volvo
3056,"It is reported that Polestar 2, the second mass-produced car of Volvo's Polestar brand, has a lower positioning than Polestar 1. The pre-sale price is 40,000 euros. It will be released in 2019 and put into production in 2020!",2018-05-09,product,volvo
3057,"On February 23, local time in the United States, Geely chairman Lishufu acquired a 9.69% stake in Daimler, the parent company of Mercedes-Benz, for US$9 billion, becoming Daimler's largest shareholder. From 2006 to 2017, Li Shufu had Volvo Cars, Polestar, Lynk & Co, Geely Automobile, London Electric Vehicle and other brands",2018-06-01,public_relations,volvo
3058,"Some people say that traditional car companies meeting new car manufacturers is like Nokia meeting Apple. Is this true? Let’s see what Qin Peiji, Sales President of Volvo Greater China, said #新能源车车##沃沃##汽车新知气流站# L Highway Moment-Idleman Xiaohu’s Weibo video​",2018-07-31,competition,volvo
3059,"Pre-orders for Volvo's new hybrid sedan, the Polestar 1, begin next week, with a limited run of 500 units per year. Everyone is really stimulated by Tesla, and this year's cars have become more beautiful.",2018-08-08,competition,volvo
3060,"High-performance electric vehicle brand – Polestar delivered Polestar 1 to the first batch of car owners in China with the innovative delivery mode of ""Polestar Home"". At the moment when the epidemic has not yet completely subsided, Polestar provides users with an exclusive ""Polestar home delivery"" delivery service, and the vehicle will be delivered to the location designated by the owner for delivery. Polestar car owners can get their car as soon as possible without going out or waiting.",2020-03-19,user_experiecne,volvo
3061,"On Monday local time, Polestar, Volvo's electric car division, revealed that despite the spread of the new coronavirus, the company will begin mass production of its pure electric car Polestar 2 at its Luqiao plant in Taizhou, Zhejiang Province from this week... : Volvo Polestar 2 will be mass-produced this week, directly related to the standard Tesla Model 3",2020-03-24,marcoeconomics,volvo
3062,"Recently, foreign media exposed the renderings of the travel version of Polestar 2 (Polestar 2). Compared with the sedan version that will be made in China at this stage, the travel version is obviously a more practical choice. If it can be put into production in the future , Polestar will provide consumers with a richer choice of models than the Tesla Model 3.",2020-04-01,product,volvo
3063,"The most beautiful art of Polestar 2, zoom in and see, it's super entertaining!",2020-04-10,user_experiecne,volvo
3064,"Before we experienced the Polestar 2 statically, we naturally did not let go of the Polestar 1 next to this car. Let’s take a look at how this hybrid GT with a price of 1.45 million and a performance that exceeds the RS 6 is.",2020-04-12,cost,volvo
3065,"The Polestar Precept Concept combines high-tech minimalism, heralds a new luxury (sustainable luxury), and hints at the design of the 2022 Polestar 3 SUV. The key words are materials and technology.",2020-04-17,user_experiecne,volvo
3066,Why is she so good-looking? Because Ta wants 1.45 million,2020-05-15,cost,volvo
3067,"Volvo Group's electric vehicle brand Polestar is considering launching a new electric flagship SUV, named Polestar 3, which will share a new platform with the third-generation Volvo XC90 and will be officially launched in 2022. Tesla Model X, Audi e-tron and Jaguar I-Pace.",2020-06-09,competition,volvo
3068,Volvo recalls nearly 2.2 million cars,2020-07-01,product,volvo
3069,"Volvo Greater China Marketing Vice President ~ Che Yanhua will be transferred to Polestar Automobile, responsible for marketing. Che Yanhua and Gao Hong, the current president of Polestar, used to be colleagues in Volkswagen's imported cars. Polestar was originally Volvo's brand specializing in racing. After becoming independent in 2017, it became a brand new independent luxury high-performance electric brand. Currently, Polestar and Volvo belong to the Geely Group.",2020-07-17,public_relations,volvo
3070,"In the 2020 Huawei Spring New Product Launch Conference, Polestar #Polestar 2# was interconnected with Huawei P40, and jointly demonstrated the operation of driving status monitoring, video calling and other functions on the spot. Controlling a car is as smart and convenient as controlling a mobile phone, with safe and reliable digital life in the car. available.",2020-08-08,sales_marketing,volvo
3071,"The exterior design of the polestar precept concept is very sophisticated, with great details. The interior design and color matching are similar to those of the BMW i4. The whole is a cool gray and then embellished with matte black and light yellow seat belts that echo the exterior. , but the color of the entire interior is matched with a very overall and unified tone, which makes people feel full of technology at a glance, and at the same time reveals a sense of luxury.​",2020-08-09,user_experiecne,volvo
3072,"Volvo recalls 380,000 cars",2020-09-06,product,volvo
3073,"Polestar 2 auto media live test drive has quietly started. Polestar 2 is not only beautiful but also interesting, what kind of excellent driving performance it has shown, so that everyone can say Wonderful!",2020-09-09,user_experiecne,volvo
3074,Polestar can be regarded as a Volvo that uses electricity. Even the plug-in coupe Polestar 1 is proud of its pure electric cruising range of more than 100 kilometers. sales data,2020-09-15,sales_marketing,volvo
3075,Looks like Lamborghini Urus sword pointed at Tesla Model X Polestar 3 exposed,2020-09-19,sales_marketing,volvo
3076,Overseas car critics commented on Polestar 2 (Polestar 2): TOP 1 in the driving pleasure of electric vehicles.,2020-09-24,user_experiecne,volvo
3077,"Interview: Polestar design chief Max Missoni on the future of Volvo's premium electric brand. For most car designers, having their CEO conduct a design review can be a cumbersome process. The auto industry is largely run by accountants and engineers, number crunchers who rely on digital systems and processes to produce things that sell emotionally.",2020-10-11,sales_marketing,volvo
3078,"According to Reuters, Volvo and Geely's joint venture brand Polestar Global CEO Thomas Ingratt said that the brand's mid-to-long-term IPO target has not changed, but is currently focusing on releasing the Polestar 2 pure electric sedan. Polestar will sell the Polestar 2 in China, Europe and the United States, aiming to achieve annual sales of more than 50,000 vehicles within two to three years. This car will compete with the Tesla Model 3 sedan",2020-10-15,competition,volvo
