Unnamed: 0.1,Unnamed: 0,Text Blocks,Timestamp,Category,Company,Stock
3132,3132,"Audi A6L e-tron has released a new energy hybrid version, will you buy it, it will be very expensive",2018-03-18,cost,vw,VWAGY
3133,3133,Volkswagen ID.Buzz long-wheelbase version without fake spy photos exposure,2019-11-06,technical_innovation,vw,VWAGY
3134,3134,Volkswagen will build a pure electric sports car,2019-11-07,technical_innovation,vw,VWAGY
3135,3135,Or release Volkswagen ID road test spy photos in March,2019-11-08,technical_innovation,vw,VWAGY
3136,3136,Audi and Infiniti team up,2019-11-13,sales_marketing,vw,VWAGY
3137,3137,"Audi plans to cut 9,500 jobs in 6 years",2019-11-27,public_relations,vw,VWAGY
3138,3138,The undisguised test car of the Volkswagen ID was photographed. It can be said that it is a combination of Passat and ID.,2019-12-01,user_experience,vw,VWAGY
3139,3139,"Mercedes-Benz and Audi cut nearly 20,000 jobs",2019-12-05,public_relations,vw,VWAGY
3140,3140,"According to the above insurance data, Kia sold 94,345 vehicles in China for the whole year, a year-on-year decrease of 40.48%. New Energy VehiclesNew Energy Vehicles#帮我选车#In fact, not only Kia, but almost all traditional fuel vehicle companies such as Volkswagen, Honda, Toyota, etc. have seen their sales plummet. Where did their share go? Without him, it was snatched away by new energy car companies. Is fuel car companies belatedly aware? Nor is it. One is that they are too big to fall off. Expand the full text c",2019-12-06,competition,vw,VWAGY
3141,3141,Volkswagen loses more than 230 billion due to emission gate,2019-12-11,product,vw,VWAGY
3142,3142,Volkswagen exhaust pollutes the environment,2020-02-13,environment,vw,VWAGY
3143,3143,"In addition to the Volkswagen ID series, what other models use high-pressure carbon dioxide as the refrigerant for heat pump air conditioners?",2020-02-17,product,vw,VWAGY
3144,3144,The emergence of Audi Q2L e-tron and e-tron has established Audi's new energy pure electric vehicle layout in China before 2020. Audi's sales in the next era have laid a solid foundation.,2020-02-23,technical_innovation,vw,VWAGY
3145,3145,"Hello, brothers! Today we are going to talk about a more controversial car-ideal one! Is it worth spending 300,000 yuan on an extended-range new energy vehicle that comes with a bottle? How to choose between the second-hand BMW X5 and the new Audi Q5L at the same price?",2020-03-01,cost,vw,VWAGY
3146,3146,The drifting Audi e-tron S has a total of three motors with a maximum power of 370 kW and a maximum torque of 973 Nm.,2020-03-08,product,vw,VWAGY
3147,3147,"Some time ago, Jaguar I-Pace and Audi e-tron were suspected to have stopped production due to insufficient production capacity of their supplier LG Chem. It seems that the battery production capacity of CATL and Samsung SDI is relatively stable.",2020-03-13,product,vw,VWAGY
3148,3148,"Electrification is an important part of Volkswagen's 2025 strategy, and the Audi brand will become the mainstay of Volkswagen Group in China",2020-03-17,public_relations,vw,VWAGY
3149,3149,"Car dealers under the epidemic situation: 30% of the employees return to work on rotation, and the passenger flow is gradually picking up--car-sales decline, which is the most direct terminal retail performance in the current auto market. In order to stabilize operations, more than 80% of stores have resumed work. On March 6, Beijing Youth Daily visited more than a dozen 4S stores, involving Audi",2020-03-18,sales_marketing,vw,VWAGY
3150,3150,"Audi announces new energy strategy: 17 new models will be launched in 2020, and sales will increase to 40% within 5 years",2020-03-20,sales_marketing,vw,VWAGY
3151,3151,VW CEO says no revenue outside China,2020-03-28,sales_marketing,vw,VWAGY
3152,3152,VW loses emissions scandal,2020-04-09,public_relations,vw,VWAGY
3153,3153,"Audi announced that it will build a battery assembly plant near the Ingolstadt plant in Germany to accelerate the transformation and cater to the trend of vehicle electrification. It is reported that in this investment, Audi will invest about 12 billion euros in research and development of new energy products. In addition, Audi Group plans to invest about 37 billion euros in research and development, fixed assets, factory equipment and other fields by 2024.​",2020-04-24,technical_innovation,vw,VWAGY
3154,3154,"Nearly 400,000 Audis recalled",2020-05-07,product,vw,VWAGY
3155,3155,"Audi New Energy Q7 ACC Adaptive Cruise Control, Lane Change Assist Road Test Perfect",2020-06-20,user_experience,vw,VWAGY
3156,3156,VW has paid $9.8 billion to U.S. car owners,2020-07-28,product,vw,VWAGY
