Unnamed: 0,Text Blocks,Timestamp,Category,Company
3252,"Xiaopeng Motors is in the A+ round of financing, IDG, GGV, Morningside Capital, Matrix Partners China, Shunwei Capital, etc. participated in the investment. The post-investment valuation of this round is 5 billion yuan. At the same time, the above information also predicts that Xpeng Motors will start the B round of financing in early 2018, and it is expected that one of the BATs will lead the investment, and the pre-investment valuation will be more than 10 billion yuan.",2018-01-04,stock,xpeng
3253,"Xiaopeng Motors 2018 school recruitment starts, quickly find your seniors and sisters to recommend it",2018-01-16,public_relations,xpeng
3254,"A few days ago, Xiaopeng Motors’ first pure electric SUV, the BETA version of Xiaopeng Motors, was officially unveiled. Although the new car is a prototype, 90% of the design of the whole car is close to mass production. In the future, the car will officially enter small batches this year. Production stage",2018-01-17,technical_innovation,xpeng
3255,"Xiaopeng Motors announced the completion of three rounds of A-round financing, and announced the B-round financing in early 2018",2018-01-27,stock,xpeng
3256,"He Xiaopeng, chairman of Xiaopeng Motors, drove a Beijing brand Xiaopeng car for the first time on the streets of Beijing​, and used automatic parking on the streets near the National Convention Center. He is the first owner of Xiaopeng Motors 1.0 Geek Edition mass-produced car. Xpeng Motors 1.0 Geek Edition will be mass-produced on a small scale, and version 2.0 will be sold to the public in 2018.",2018-02-03,public_relations,xpeng
3257,"With the influx of new car-making forces, the battle of capital in the automotive industry chain has gradually spread from the aftermarket to the front-end manufacturing field. After investing in Weilai and Baidu's investment in Weimar, it also officially entered the new car company Xiaopeng Motors a few days ago. In 2018, BAT's full-scale fight in the automotive field officially kicked off.",2018-02-06,sales_marketing,xpeng
3258,"He Xiaopeng, chairman of Xpeng Motors, revealed in ""A Letter to All Employees of Xpeng Motors"" that the 2.0 mass-produced models of Xpeng Motors will be officially unveiled at the 2018 CES International Consumer Electronics Show and will be officially launched in the spring of 2018",2018-02-09,public_relations,xpeng
3259,"At the CES (Consumer Electronics Show), the first major IT event in 2018, which is currently being held in Las Vegas, the United States, two new car manufacturers from China, Byton and Xiaopeng Motors, filled the gap held by LeEco last year. Leave blank.",2018-02-20,sales_marketing,xpeng
3260,"OEMs in the wave of intelligent driving: GM, an established car company in North America, SAIC, the most active car manufacturer in China, and Xiaopeng Motors, a new car manufacturer.",2018-02-21,competition,xpeng
3261,"Xpeng Motors 2.0 mass-produced models will be unveiled at the 2018 CES International Consumer Electronics Show and will be officially launched at the beginning of the year. The new car will be upgraded in terms of appearance design, cruising range, driving quality and automatic driving, and the 2.0 version model will be the main product in the future",2018-02-25,sales_marketing,xpeng
3262,"He Xiaopeng, chairman of Xiaopeng Motors, believes that many traditional car companies can build electric cars, but very few can make good cars. He said that it takes at least five years for an emerging car company to build a car from 0 to 1. For the emerging car-making forces emerging in the market, 2020 is the first year of real PK, and the first year for more users to use better products.",2018-03-11,public_relations,xpeng
3263,"At the ""CES China Innovation Night"" hosted by Titanium Media, He Xiaopeng, chairman of Xiaopeng Motors and co-founder of UC, said that only an industry with a large enough scale can promote the development of the entire IOT industry. Not yet advanced, but world-leading in application portfolio",2018-03-21,public_relations,xpeng
3264,"The Xiaopeng Motors G3, which was born out of the collision of the idea of ​​running on the ground and flying in the sky, was first released in 2018. Xpeng Motors G3 will easily take you to experience a space-like driving experience. What are you waiting for?",2018-03-22,public_relations,xpeng
3265,"In January 2018, Xiaopeng Motors delivered 39 vehicles, marking the first time that a new force in Internet car manufacturing entered the new energy vehicle sales list of the Federation of Passengers and Passengers",2018-04-02,sales_marketing,xpeng
3266,"The rise of new smartphones in 2008 and 2009 has created a large number of advanced enterprises worth tens of billions of dollars, and even Apple has been the leader for many years. The smart car and new energy car industry, which is a hundred times larger than a mobile phone, is also in full swing in 2018, and has achieved a number of new car manufacturers such as Weilai, Weimar, Singularity, Denza, Xiaopeng, and Ferrari Future. , who will be the next Apple Xiaomi?​",2018-04-05,competition,xpeng
3267,"According to Caixin news, NIO’s IPO in the United States at the end of 2018 is expected to raise US$2 billion. Is Xiaopeng Motors under pressure?​",2018-04-09,stock,xpeng
3268,"Wang Xin, a person most nerds clamored to owe him a membership, was imprisoned in 2015 and released in 2018. When he was released from prison, He Xiaopeng, chairman of Xiaopeng Motors, posted a photo with Wang Xin, the founder of Kuaibo, and revealed that Wang Xin's thinking is completely synchronized with everyone.",2018-07-14,public_relations,xpeng
3269,"On August 2, Xiaopeng Motors officially announced the completion of the B+ round of financing with a total contracted amount of 4 billion yuan, and received joint investment from Primavera Capital, Morningside Capital, and He Xiaopeng, chairman and CEO of Xiaopeng Motors. In addition to the continuous investment of many old shareholders, top investors such as Hillhouse Capital, K11, Zhongding Venture Capital, etc. also appeared for the first time and injected strong capital into Xpeng Motors. This is the largest single round of financing so far in 2018 among new car manufacturers.",2018-08-02,stock,xpeng
3270,"As an Internet company, Baidu has been deeply involved in artificial intelligence and unmanned driving technology in recent years. new car-making force.",2018-08-25,sales_marketing,xpeng
3271,"On the afternoon of August 29th, the 2018 Guangzhou Artificial Intelligence Industry Conference was held. The conference brought together leading figures from well-known enterprises such as Alibaba, Xiaopeng Motors, iFLYTEK, CloudWalk Technology, and Shugen Internet, focusing on ""gathering wisdom and inspiring the future with wisdom"" "", discussed the new development and new trend of the development of Guangzhou's artificial intelligence industry. It is estimated that the total industry scale will exceed 100 billion in 2022!",2018-09-05,technical_innovation,xpeng
3272,"Published a headline article: ""Tesla and Huawei cut prices, how long can ""Wei Xiaoli"" last?"" """"Wei Xiaoli"" decided not to lower the price. Recently, Li Xiang, the founder of Ideal Auto, responded clearly in a live broadcast that he would not follow Tesla to cut prices, and believed that (these medium-sized SUVs should be set at the current price to be reasonable.” On the 1st, in the new energy vehicle country After the subsidy was officially cancelled, Xiaopeng Motors neither lowered nor raised its prices, and announced that it will continue to expand the full text c",2018-09-13,cost,xpeng
3273,"Xiaopeng Motors announced the service system construction plan. In 2018, urban service centers integrating sales, delivery and after-sales will be built in Beijing, Shanghai, Guangzhou, Shenzhen and Hangzhou. At the same time, more than 20 offline sales stores have been developed, and online and offline sales are linked.​",2018-09-22,user_experience,xpeng
3274,"Xpeng expands its European service network and will open four delivery service centers Xpeng Motors officially announced that it will open four Xpeng delivery and service centers in Norway, the Netherlands, Sweden and Denmark in the next few months; the service centers will provide pre-delivery Inspection, after-sales and repair services, service center expected to open in the first half of 2019: - Delivery and service center in Lørenskog, Norway to open in February 2019 - First delivery in the Netherlands​ Expand full text c",2018-10-04,sales_marketing,xpeng
3275,"He Xiaopeng: Smart car companies in the future will move closer to the ""Apple model""",2018-10-22,public_relations,xpeng
3276,"A few days ago, according to information obtained from relevant channels, Mr. He Xiaopeng, chairman and CEO of Xpeng Motors, revealed through his social circle that Xpeng G3 has entered comprehensive evaluations such as steering, power, suspension, and NVH, and the overall condition is good.",2018-10-23,public_relations,xpeng
3277,"At the 2018 Guangzhou Auto Show, domestically produced new energy vehicles made their debuts: Xiaopeng Motors, BAIC LITE, MG EZS, BYD Song MAX, etc. Domestic car companies have deployed ""electrification, networking, intelligence, and sharing"". Some netizens also named the three most futuristic new energy vehicles at this auto show",2018-11-19,competition,xpeng
